Collection,Category,Name,Variant Name,Price,In Stock,URL,id
2002 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2002 Hai Lang Hao ""Ai Lao Shan Mini Cake"" Raw Pu-erh Tea",200 Gram Cake,48.00,Yes,https://yunnansourcing.com/products/2002-hai-lang-hao-ai-lao-shan-mini-cake-raw-pu-erh-tea,31315067974
2004 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2004 Hai Lang Hao ""Big Snow Mountain"" Raw Pu-erh Tea Brick",250 Gram Brick,80.00,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-big-snow-mountain-raw-pu-erh-tea,31423720262
2004 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2004 Hai Lang Hao ""Big Snow Mountain"" Raw Pu-erh Tea Brick",25 Gram Sample,10.50,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-big-snow-mountain-raw-pu-erh-tea,31423720326
2004 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2004 Hai Lang Hao ""Nan Nuo Bai Hao"" Raw Pu-erh Tea Cake",357 Gram Cake,140.00,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-nan-nuo-bai-hao-raw-pu-erh-tea-cake,31423678534
2004 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2004 Hai Lang Hao ""Nan Nuo Bai Hao"" Raw Pu-erh Tea Cake",25 Gram Sample,13.25,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-nan-nuo-bai-hao-raw-pu-erh-tea-cake,31423678598
2004 Hai Lang Hao Pu-erh Teas,Ripe Pu-erh Tea,"2004 Hai Lang Hao ""Qiao Mu"" Ripe Pu-erh Tea Brick",1 Brick (250 Grams),62.00,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-qiao-mu-ripe-pu-erh-tea-brick,800756367381
2004 Hai Lang Hao Pu-erh Teas,Ripe Pu-erh Tea,"2004 Hai Lang Hao ""Qiao Mu"" Ripe Pu-erh Tea Brick",25 Grams Sample,8.70,Yes,https://yunnansourcing.com/products/2004-hai-lang-hao-qiao-mu-ripe-pu-erh-tea-brick,800760561685
2005 and before Menghai Tea Factory Teas,Ripe Pu-erh Tea,2005 Menghai 7592 501 Ripe Pu-erh Tea Cake,357 Gram Cake,147.00,Yes,https://yunnansourcing.com/products/2005-menghai-7592-501-ripe-pu-erh-tea-cake,30517098118
2005 and before Menghai Tea Factory Teas,Ripe Pu-erh Tea,2005 Menghai 7592 501 Ripe Pu-erh Tea Cake,25 Gram Sample,13.80,Yes,https://yunnansourcing.com/products/2005-menghai-7592-501-ripe-pu-erh-tea-cake,30517098182
2005 and before Menghai Tea Factory Teas,Raw Pu-erh Tea,2005 Menghai Jia Ji Zao Chun Raw Pu-erh Tea Cake,380 Gram Cake,160.00,No,https://yunnansourcing.com/products/2005-menghai-jia-ji-zai-chun-raw-pu-erh-tea-cake,30517395462
2005 and before Menghai Tea Factory Teas,Raw Pu-erh Tea,2014 Yunnan Sourcing Impression Raw Pu-erh Tea Cake,1 Cake (357 Grams),40.00,Yes,https://yunnansourcing.com/products/2014-yunnan-sourcing-impression-raw-pu-erh-tea-cake,35009673670
2005 and before Menghai Tea Factory Teas,Raw Pu-erh Tea,2014 Yunnan Sourcing Impression Raw Pu-erh Tea Cake,1 Tong (7 Cakes),252.00,Yes,https://yunnansourcing.com/products/2014-yunnan-sourcing-impression-raw-pu-erh-tea-cake,35009777158
2005 and before Menghai Tea Factory Teas,Raw Pu-erh Tea,2014 Yunnan Sourcing Impression Raw Pu-erh Tea Cake,25 Grams Sample,5.55,Yes,https://yunnansourcing.com/products/2014-yunnan-sourcing-impression-raw-pu-erh-tea-cake,35009777222
2005 and before Menghai Tea Factory Teas,Ripe Pu-erh Tea,2016 Menghai 7592 1601 Ripe Pu-erh Tea Cake,357 Gram Cake,25.00,Yes,https://yunnansourcing.com/products/2016-menghai-7592-1601-ripe-pu-erh-tea-cake,40708934854
2005 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2005 Hai Lang Hao ""Ba Ma Gong Chun"" Raw Pu-erh Tea",357 Gram Cake,130.00,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-ba-ma-gong-chun-raw-pu-erh-tea,31424857094
2005 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2005 Hai Lang Hao ""Ba Ma Gong Chun"" Raw Pu-erh Tea",25 Gram Sample,12.40,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-ba-ma-gong-chun-raw-pu-erh-tea,31424857158
2005 Hai Lang Hao Pu-erh Teas,Ripe Pu-erh Tea,"2005 Hai Lang Hao ""Jin Se Zhen Ming"" Ripe Pu-erh Tea Cake of Menghai",357 Gram Cake,82.00,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-jin-se-zhen-ming-ripe-pu-erh-tea-cake-of-menghai,31424800070
2005 Hai Lang Hao Pu-erh Teas,Ripe Pu-erh Tea,"2005 Hai Lang Hao ""Jin Se Zhen Ming"" Ripe Pu-erh Tea Cake of Menghai",25 Gram Sample,8.80,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-jin-se-zhen-ming-ripe-pu-erh-tea-cake-of-menghai,31424800134
2005 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2005 Hai Lang Hao ""Lincang Impression"" Raw Pu-erh Tea",357 Gram Cake,124.00,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-lincang-impression-raw-pu-erh-tea,31424950598
2005 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2005 Hai Lang Hao ""Lincang Impression"" Raw Pu-erh Tea",25 Gram Sample,12.00,Yes,https://yunnansourcing.com/products/2005-hai-lang-hao-lincang-impression-raw-pu-erh-tea,31424962950
